"","Site","Species","SizeClass","MeanDensity","SDDensity","SE","N_transects"
"56","S14","P. effusa",">14cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"57","S14","P. grandis","0-2cm",0.0533333333333333,0.023094010767585,0.0133333333333333,3
"58","S14","P. grandis",">2cm-5cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"59","S14","P. grandis",">5cm-14cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"60","S14","P. grandis",">14cm",0.28,0,0,3
"61","S14","P. meandrina","0-2cm",0.586666666666667,0.257164020293145,0.148473716342134,3
"62","S14","P. meandrina",">2cm-5cm",0.346666666666667,0.0461880215351701,0.0266666666666667,3
"63","S14","P. meandrina",">5cm-14cm",0.586666666666667,0.0832666399786453,0.0480740170061865,3
"64","S14","P. meandrina",">14cm",1,0.4,0.23094010767585,3
"65","S14","P. tuahiniensis","0-2cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"66","S14","P. tuahiniensis",">2cm-5cm",0.0266666666666667,0.0461880215351701,0.0266666666666667,3
"67","S14","P. tuahiniensis",">5cm-14cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"68","S14","P. tuahiniensis",">14cm",0.173333333333333,0.0461880215351701,0.0266666666666667,3
"69","S14","P. verrucosa","0-2cm",0,0,0,3
"70","S14","P. verrucosa",">2cm-5cm",0.0533333333333333,0.0611010092660779,0.0352766841475279,3
"71","S14","P. verrucosa",">5cm-14cm",0.106666666666667,0.122202018532156,0.0705533682950557,3
"72","S14","P. verrucosa",">14cm",0.24,0.105830052442584,0.0611010092660779,3
"73","S15","P. acuta","0-2cm",0.12,0.0692820323027551,0.04,3
"74","S15","P. acuta",">2cm-5cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"75","S15","P. acuta",">5cm-14cm",0,0,0,3
"76","S15","P. acuta",">14cm",0,0,0,3
"77","S15","P. effusa","0-2cm",0.04,0.04,0.023094010767585,3
"78","S15","P. effusa",">2cm-5cm",0.04,0,0,3
"79","S15","P. effusa",">5cm-14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"80","S15","P. effusa",">14cm",0,0,0,3
"81","S15","P. grandis","0-2cm",0.106666666666667,0.0923760430703401,0.0533333333333333,3
"82","S15","P. grandis",">2cm-5cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"83","S15","P. grandis",">5cm-14cm",0.04,0.04,0.023094010767585,3
"84","S15","P. grandis",">14cm",0.08,0.04,0.023094010767585,3
"85","S15","P. meandrina","0-2cm",0.786666666666667,0.410528115155751,0.237018517795082,3
"86","S15","P. meandrina",">2cm-5cm",0.24,0.13856406460551,0.08,3
"87","S15","P. meandrina",">5cm-14cm",0.52,0.211660104885167,0.122202018532156,3
"88","S15","P. meandrina",">14cm",0.613333333333333,0.161658075373095,0.0933333333333333,3
"89","S15","P. tuahiniensis","0-2cm",0.106666666666667,0.0461880215351701,0.0266666666666667,3
"90","S15","P. tuahiniensis",">2cm-5cm",0.0533333333333333,0.023094010767585,0.0133333333333333,3
"91","S15","P. tuahiniensis",">5cm-14cm",0.0933333333333333,0.0832666399786453,0.0480740170061865,3
"92","S15","P. tuahiniensis",">14cm",0.293333333333333,0.122202018532156,0.0705533682950558,3
"93","S15","P. verrucosa","0-2cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"94","S15","P. verrucosa",">2cm-5cm",0,0,0,3
"95","S15","P. verrucosa",">5cm-14cm",0.106666666666667,0.0923760430703401,0.0533333333333333,3
"96","S15","P. verrucosa",">14cm",0.24,0.105830052442584,0.0611010092660779,3
"97","S18","P. acuta","0-2cm",0.0533333333333333,0.023094010767585,0.0133333333333333,3
"98","S18","P. acuta",">2cm-5cm",0.0933333333333333,0.0461880215351701,0.0266666666666667,3
"99","S18","P. acuta",">5cm-14cm",0,0,0,3
"100","S18","P. acuta",">14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"101","S18","P. effusa","0-2cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"102","S18","P. effusa",">2cm-5cm",0.08,0.0692820323027551,0.04,3
"103","S18","P. effusa",">5cm-14cm",0,0,0,3
"104","S18","P. effusa",">14cm",0,0,0,3
"105","S18","P. grandis","0-2cm",0,0,0,3
"106","S18","P. grandis",">2cm-5cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"107","S18","P. grandis",">5cm-14cm",0.04,0,0,3
"108","S18","P. grandis",">14cm",0.0933333333333333,0.0611010092660779,0.0352766841475279,3
"109","S18","P. meandrina","0-2cm",0.2,0.0692820323027551,0.04,3
"110","S18","P. meandrina",">2cm-5cm",0.146666666666667,0.115470053837925,0.0666666666666667,3
"111","S18","P. meandrina",">5cm-14cm",0.373333333333333,0.122202018532156,0.0705533682950557,3
"112","S18","P. meandrina",">14cm",0.2,0.12,0.0692820323027551,3
"113","S18","P. tuahiniensis","0-2cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"114","S18","P. tuahiniensis",">2cm-5cm",0.04,0.04,0.023094010767585,3
"115","S18","P. tuahiniensis",">5cm-14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"116","S18","P. tuahiniensis",">14cm",0.0933333333333333,0.0611010092660779,0.0352766841475279,3
"117","S18","P. verrucosa","0-2cm",0,0,0,3
"118","S18","P. verrucosa",">2cm-5cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"119","S18","P. verrucosa",">5cm-14cm",0.0533333333333333,0.0461880215351701,0.0266666666666667,3
"120","S18","P. verrucosa",">14cm",0.04,0.04,0.023094010767585,3
"121","S2","P. acuta","0-2cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"122","S2","P. acuta",">2cm-5cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"123","S2","P. acuta",">5cm-14cm",0,0,0,3
"124","S2","P. acuta",">14cm",0,0,0,3
"125","S2","P. effusa","0-2cm",0.266666666666667,0.151437555888007,0.08743251365736,3
"126","S2","P. effusa",">2cm-5cm",0.48,0.207846096908265,0.12,3
"127","S2","P. effusa",">5cm-14cm",0.106666666666667,0.151437555888007,0.08743251365736,3
"128","S2","P. effusa",">14cm",0.04,0.0692820323027551,0.04,3
"129","S2","P. grandis","0-2cm",0.226666666666667,0.151437555888007,0.08743251365736,3
"130","S2","P. grandis",">2cm-5cm",0.08,0.08,0.0461880215351701,3
"131","S2","P. grandis",">5cm-14cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"132","S2","P. grandis",">14cm",0.0266666666666667,0.0461880215351701,0.0266666666666667,3
"133","S2","P. meandrina","0-2cm",1.22666666666667,0.302875111776015,0.17486502731472,3
"134","S2","P. meandrina",">2cm-5cm",0.52,0.105830052442584,0.0611010092660779,3
"135","S2","P. meandrina",">5cm-14cm",0.0933333333333333,0.0611010092660779,0.0352766841475279,3
"136","S2","P. meandrina",">14cm",0.0933333333333333,0.0832666399786453,0.0480740170061865,3
"137","S2","P. tuahiniensis","0-2cm",0.133333333333333,0.0611010092660779,0.0352766841475279,3
"138","S2","P. tuahiniensis",">2cm-5cm",0.08,0.04,0.023094010767585,3
"139","S2","P. tuahiniensis",">5cm-14cm",0.04,0.04,0.023094010767585,3
"140","S2","P. tuahiniensis",">14cm",0.0266666666666667,0.0461880215351701,0.0266666666666667,3
"141","S2","P. verrucosa","0-2cm",0,0,0,3
"142","S2","P. verrucosa",">2cm-5cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"143","S2","P. verrucosa",">5cm-14cm",0,0,0,3
"144","S2","P. verrucosa",">14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"145","S3","P. acuta","0-2cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"146","S3","P. acuta",">2cm-5cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"147","S3","P. acuta",">5cm-14cm",0,0,0,3
"148","S3","P. acuta",">14cm",0,0,0,3
"149","S3","P. effusa","0-2cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"150","S3","P. effusa",">2cm-5cm",0.173333333333333,0.023094010767585,0.0133333333333333,3
"151","S3","P. effusa",">5cm-14cm",0.0266666666666667,0.0461880215351701,0.0266666666666667,3
"152","S3","P. effusa",">14cm",0,0,0,3
"153","S3","P. grandis","0-2cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"154","S3","P. grandis",">2cm-5cm",0.0533333333333333,0.0923760430703401,0.0533333333333333,3
"155","S3","P. grandis",">5cm-14cm",0.04,0.0692820323027551,0.04,3
"156","S3","P. grandis",">14cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"157","S3","P. meandrina","0-2cm",0.12,0.12,0.0692820323027551,3
"158","S3","P. meandrina",">2cm-5cm",0.213333333333333,0.0923760430703401,0.0533333333333333,3
"159","S3","P. meandrina",">5cm-14cm",0.0933333333333333,0.0832666399786453,0.0480740170061865,3
"160","S3","P. meandrina",">14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"161","S3","P. tuahiniensis","0-2cm",0,0,0,3
"162","S3","P. tuahiniensis",">2cm-5cm",0.0266666666666667,0.0461880215351701,0.0266666666666667,3
"163","S3","P. tuahiniensis",">5cm-14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"164","S3","P. tuahiniensis",">14cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"165","S3","P. verrucosa","0-2cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"166","S3","P. verrucosa",">2cm-5cm",0,0,0,3
"167","S3","P. verrucosa",">5cm-14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"168","S3","P. verrucosa",">14cm",0.0533333333333333,0.023094010767585,0.0133333333333333,3
"169","S4","P. acuta","0-2cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"170","S4","P. acuta",">2cm-5cm",0,0,0,3
"171","S4","P. acuta",">5cm-14cm",0,0,0,3
"172","S4","P. acuta",">14cm",0,0,0,3
"173","S4","P. effusa","0-2cm",0.08,0.105830052442584,0.0611010092660779,3
"174","S4","P. effusa",">2cm-5cm",0,0,0,3
"175","S4","P. effusa",">5cm-14cm",0,0,0,3
"176","S4","P. effusa",">14cm",0,0,0,3
"177","S4","P. grandis","0-2cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"178","S4","P. grandis",">2cm-5cm",0,0,0,3
"179","S4","P. grandis",">5cm-14cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"180","S4","P. grandis",">14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"181","S4","P. meandrina","0-2cm",0.0666666666666667,0.0611010092660779,0.0352766841475279,3
"182","S4","P. meandrina",">2cm-5cm",0.133333333333333,0.100664459136943,0.0581186525805423,3
"183","S4","P. meandrina",">5cm-14cm",0.24,0.16,0.0923760430703401,3
"184","S4","P. meandrina",">14cm",0.0666666666666667,0.0832666399786453,0.0480740170061865,3
"185","S4","P. tuahiniensis","0-2cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"186","S4","P. tuahiniensis",">2cm-5cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"187","S4","P. tuahiniensis",">5cm-14cm",0.04,0.04,0.023094010767585,3
"188","S4","P. tuahiniensis",">14cm",0.0666666666666667,0.023094010767585,0.0133333333333333,3
"189","S4","P. verrucosa","0-2cm",0,0,0,3
"190","S4","P. verrucosa",">2cm-5cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"191","S4","P. verrucosa",">5cm-14cm",0.0666666666666667,0.0611010092660779,0.0352766841475279,3
"192","S4","P. verrucosa",">14cm",0.0533333333333333,0.0461880215351701,0.0266666666666667,3
"193","S5","P. acuta","0-2cm",0.106666666666667,0.0611010092660779,0.0352766841475279,3
"194","S5","P. acuta",">2cm-5cm",0.04,0.04,0.023094010767585,3
"195","S5","P. acuta",">5cm-14cm",0,0,0,3
"196","S5","P. acuta",">14cm",0,0,0,3
"197","S5","P. effusa","0-2cm",0.426666666666667,0.166533279957291,0.0961480340123731,3
"198","S5","P. effusa",">2cm-5cm",0.546666666666667,0.241108550933668,0.139204086785474,3
"199","S5","P. effusa",">5cm-14cm",0.0933333333333333,0.128582010146573,0.074236858171067,3
"200","S5","P. effusa",">14cm",0,0,0,3
"201","S5","P. grandis","0-2cm",0.24,0.14422205101856,0.0832666399786453,3
"202","S5","P. grandis",">2cm-5cm",0.173333333333333,0.122202018532156,0.0705533682950558,3
"203","S5","P. grandis",">5cm-14cm",0.0266666666666667,0.0461880215351701,0.0266666666666667,3
"204","S5","P. grandis",">14cm",0.08,0.04,0.023094010767585,3
"205","S5","P. meandrina","0-2cm",0.613333333333333,0.100664459136943,0.0581186525805423,3
"206","S5","P. meandrina",">2cm-5cm",0.666666666666667,0.241108550933668,0.139204086785474,3
"207","S5","P. meandrina",">5cm-14cm",0.546666666666667,0.201328918273887,0.116237305161085,3
"208","S5","P. meandrina",">14cm",0.2,0.174355957741627,0.100664459136943,3
"209","S5","P. tuahiniensis","0-2cm",0.16,0.12,0.0692820323027551,3
"210","S5","P. tuahiniensis",">2cm-5cm",0.106666666666667,0.023094010767585,0.0133333333333333,3
"211","S5","P. tuahiniensis",">5cm-14cm",0.133333333333333,0.0461880215351701,0.0266666666666667,3
"212","S5","P. tuahiniensis",">14cm",0.133333333333333,0.023094010767585,0.0133333333333333,3
"213","S5","P. verrucosa","0-2cm",0.04,0.04,0.023094010767585,3
"214","S5","P. verrucosa",">2cm-5cm",0.0533333333333333,0.0611010092660779,0.0352766841475279,3
"215","S5","P. verrucosa",">5cm-14cm",0.08,0,0,3
"216","S5","P. verrucosa",">14cm",0.146666666666667,0.115470053837925,0.0666666666666667,3
"217","S6","P. acuta","0-2cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"218","S6","P. acuta",">2cm-5cm",0,0,0,3
"219","S6","P. acuta",">5cm-14cm",0,0,0,3
"220","S6","P. acuta",">14cm",0,0,0,3
"221","S6","P. effusa","0-2cm",0.0533333333333333,0.0611010092660779,0.0352766841475279,3
"222","S6","P. effusa",">2cm-5cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"223","S6","P. effusa",">5cm-14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"224","S6","P. effusa",">14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"225","S6","P. grandis","0-2cm",0.2,0.16,0.0923760430703401,3
"226","S6","P. grandis",">2cm-5cm",0.0666666666666667,0.023094010767585,0.0133333333333333,3
"227","S6","P. grandis",">5cm-14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"228","S6","P. grandis",">14cm",0,0,0,3
"229","S6","P. meandrina","0-2cm",0.8,0.450777106783386,0.260256283945908,3
"230","S6","P. meandrina",">2cm-5cm",0.2,0.105830052442584,0.0611010092660779,3
"231","S6","P. meandrina",">5cm-14cm",0.0666666666666667,0.115470053837925,0.0666666666666667,3
"232","S6","P. meandrina",">14cm",0.08,0.0692820323027551,0.04,3
"233","S6","P. tuahiniensis","0-2cm",0.08,0.04,0.023094010767585,3
"234","S6","P. tuahiniensis",">2cm-5cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"235","S6","P. tuahiniensis",">5cm-14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"236","S6","P. tuahiniensis",">14cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"237","S6","P. verrucosa","0-2cm",0.04,0.04,0.023094010767585,3
"238","S6","P. verrucosa",">2cm-5cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"239","S6","P. verrucosa",">5cm-14cm",0,0,0,3
"240","S6","P. verrucosa",">14cm",0.0666666666666667,0.115470053837925,0.0666666666666667,3
"241","S9","P. acuta","0-2cm",0.0666666666666667,0.023094010767585,0.0133333333333333,3
"242","S9","P. acuta",">2cm-5cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"243","S9","P. acuta",">5cm-14cm",0,0,0,3
"244","S9","P. acuta",">14cm",0,0,0,3
"245","S9","P. effusa","0-2cm",0.0666666666666667,0.0611010092660779,0.0352766841475279,3
"246","S9","P. effusa",">2cm-5cm",0.226666666666667,0.0832666399786453,0.0480740170061865,3
"247","S9","P. effusa",">5cm-14cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"248","S9","P. effusa",">14cm",0,0,0,3
"249","S9","P. grandis","0-2cm",0.146666666666667,0.0461880215351701,0.0266666666666667,3
"250","S9","P. grandis",">2cm-5cm",0.106666666666667,0.0461880215351701,0.0266666666666667,3
"251","S9","P. grandis",">5cm-14cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"252","S9","P. grandis",">14cm",0,0,0,3
"253","S9","P. meandrina","0-2cm",1.32,0.24,0.13856406460551,3
"254","S9","P. meandrina",">2cm-5cm",0.453333333333333,0.0832666399786453,0.0480740170061865,3
"255","S9","P. meandrina",">5cm-14cm",0.0933333333333333,0.0923760430703401,0.0533333333333333,3
"256","S9","P. meandrina",">14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"257","S9","P. tuahiniensis","0-2cm",0.106666666666667,0.0832666399786453,0.0480740170061865,3
"258","S9","P. tuahiniensis",">2cm-5cm",0.0666666666666667,0.0832666399786453,0.0480740170061865,3
"259","S9","P. tuahiniensis",">5cm-14cm",0.0666666666666667,0.0611010092660779,0.0352766841475279,3
"260","S9","P. tuahiniensis",">14cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"261","S9","P. verrucosa","0-2cm",0.04,0.04,0.023094010767585,3
"262","S9","P. verrucosa",">2cm-5cm",0,0,0,3
"263","S9","P. verrucosa",">5cm-14cm",0.0266666666666667,0.0461880215351701,0.0266666666666667,3
"264","S9","P. verrucosa",">14cm",0,0,0,3
