"","Shore","Site","Benthic.Group","Benthic.Name","Count","RelAbundance"
"44","North","S2","Hard_Coral","Porites",118,0.0159459459459459
"45","East","S11","Hard_Coral","Pocillopora",113,0.0159154929577465
"46","West","S18","Hard_Coral","Pocillopora",73,0.0143137254901961
"47","East","S9","Hard_Coral","Porites",91,0.0118181818181818
"48","North","S4","Hard_Coral","Pocillopora",61,0.00782051282051282
"49","North","S2","Hard_Coral","Pocillopora",55,0.00743243243243243
"50","North","S3","Hard_Coral","Pocillopora",43,0.00614285714285714
"51","East","S6","Hard_Coral","Pocillopora",34,0.00557377049180328
"52","North","S4","Hard_Coral","Acropora",42,0.00538461538461538
"53","West","S14","Hard_Coral","Gardineroseris",33,0.00445945945945946
"54","East","S9","Hard_Coral","Pocillopora",33,0.00428571428571429
"55","West","S15","Hard_Coral","Acropora",29,0.00381578947368421
"56","North","S3","Hard_Coral","Montipora",26,0.00371428571428571
"57","North","S2","Hard_Coral","Acropora",27,0.00364864864864865
"58","North","S5","Hard_Coral","Acropora",28,0.00363636363636364
"59","West","S15","Hard_Coral","Leptoseris",16,0.00210526315789474
"60","West","S14","Hard_Coral","Acropora",11,0.00148648648648649
"61","West","S18","Hard_Coral","Psammocora",7,0.00137254901960784
"62","East","S6","Hard_Coral","Psammocora",8,0.00131147540983607
"63","West","S15","Hard_Coral","Pavona",9,0.00118421052631579
"64","West","S15","Hard_Coral","Psammocora",9,0.00118421052631579
"65","North","S5","Hard_Coral","Unidentified coral",9,0.00116883116883117
"66","North","S3","Hard_Coral","Acropora",6,0.000857142857142857
"67","North","S3","Hard_Coral","Unidentified coral",5,0.000714285714285714
"68","West","S14","Hard_Coral","Psammocora",5,0.000675675675675676
"69","West","S15","Hard_Coral","Acanthastrea",5,0.000657894736842105
"70","West","S15","Hard_Coral","Gardineroseris",5,0.000657894736842105
"71","East","S6","Hard_Coral","Sandalolitha",4,0.000655737704918033
"72","West","S14","Hard_Coral","Leptastrea",4,0.000540540540540541
"73","West","S15","Hard_Coral","Leptastrea",4,0.000526315789473684
"74","North","S5","Hard_Coral","Leptoseris",4,0.000519480519480519
"75","East","S9","Hard_Coral","Montastraea",4,0.000519480519480519
"76","East","S6","Hard_Coral","Pavona",3,0.000491803278688525
"77","West","S12","Hard_Coral","Pavona",3,0.00046875
"78","West","S12","Hard_Coral","Unidentified coral",3,0.00046875
"79","East","S11","Hard_Coral","Acropora",3,0.000422535211267606
"80","East","S11","Hard_Coral","Unidentified coral",3,0.000422535211267606
"81","North","S2","Hard_Coral","Montipora",3,0.000405405405405405
"82","North","S2","Hard_Coral","Unidentified coral",3,0.000405405405405405
"83","West","S14","Hard_Coral","Leptoseris",3,0.000405405405405405
"84","West","S14","Hard_Coral","Lobophyllia",3,0.000405405405405405
"85","West","S14","Hard_Coral","Unidentified coral",3,0.000405405405405405
"86","West","S18","Hard_Coral","Leptastrea",2,0.000392156862745098
"87","East","S9","Hard_Coral","Montipora",3,0.00038961038961039
"88","North","S4","Hard_Coral","Cyphastrea",3,0.000384615384615385
"89","North","S4","Hard_Coral","Unidentified coral",3,0.000384615384615385
"90","East","S6","Hard_Coral","Unidentified coral",2,0.000327868852459016
"91","West","S12","Hard_Coral","Acanthastrea",2,0.0003125
"92","West","S12","Hard_Coral","Psammocora",2,0.0003125
"93","North","S3","Hard_Coral","Gardineroseris",2,0.000285714285714286
"94","North","S3","Hard_Coral","Psammocora",2,0.000285714285714286
"95","East","S11","Hard_Coral","Leptoseris",2,0.00028169014084507
"96","East","S11","Hard_Coral","Psammocora",2,0.00028169014084507
"97","North","S5","Hard_Coral","Fungia",2,0.00025974025974026
"98","North","S5","Hard_Coral","Leptastrea",2,0.00025974025974026
"99","North","S5","Hard_Coral","Sandalolitha",2,0.00025974025974026
"100","West","S18","Hard_Coral","Leptoseris",1,0.000196078431372549
"101","West","S18","Hard_Coral","Unidentified coral",1,0.000196078431372549
"102","East","S6","Hard_Coral","Leptastrea",1,0.000163934426229508
"103","East","S6","Hard_Coral","Leptoseris",1,0.000163934426229508
"104","West","S12","Hard_Coral","Astreopora",1,0.00015625
"105","East","S11","Hard_Coral","Gardineroseris",1,0.000140845070422535
"106","West","S14","Hard_Coral","Cyphastrea",1,0.000135135135135135
"107","West","S14","Hard_Coral","Pavona",1,0.000135135135135135
"108","West","S15","Hard_Coral","Lobophyllia",1,0.000131578947368421
"109","West","S15","Hard_Coral","Montastraea",1,0.000131578947368421
"110","West","S15","Hard_Coral","Unidentified coral",1,0.000131578947368421
"111","North","S5","Hard_Coral","Acanthastrea",1,0.00012987012987013
"112","North","S5","Hard_Coral","Astreopora",1,0.00012987012987013
"113","North","S5","Hard_Coral","Pachyseris",1,0.00012987012987013
"114","North","S5","Hard_Coral","Pavona",1,0.00012987012987013
"115","North","S5","Hard_Coral","Psammocora",1,0.00012987012987013
"116","East","S9","Hard_Coral","Acropora",1,0.00012987012987013
"117","East","S9","Hard_Coral","Leptoseris",1,0.00012987012987013
"118","East","S9","Hard_Coral","Psammocora",1,0.00012987012987013
"119","East","S9","Hard_Coral","Unidentified coral",1,0.00012987012987013
"120","North","S4","Hard_Coral","Astreopora",1,0.000128205128205128
"121","North","S4","Hard_Coral","Leptastrea",1,0.000128205128205128
"122","North","S4","Hard_Coral","Leptoseris",1,0.000128205128205128
"123","North","S4","Misc","Sand",5297,0.679102564102564
"124","North","S5","Misc","Sand",2521,0.327402597402597
"125","West","S12","Misc","Sand",1773,0.27703125
"126","West","S15","Misc","Sand",1887,0.248289473684211
"127","East","S6","Misc","Sand",1501,0.246065573770492
"128","East","S11","Misc","Sand",1589,0.223802816901408
"129","North","S3","Misc","Sand",1393,0.199
"130","West","S18","Misc","Sand",989,0.193921568627451
"131","West","S14","Misc","Sand",1353,0.182837837837838
"132","East","S9","Misc","Sand",585,0.075974025974026
"133","North","S2","Misc","Sand",259,0.035
"134","West","S18","Misc","Millepora",28,0.00549019607843137
"135","East","S11","Misc","Millepora",34,0.0047887323943662
"136","West","S12","Misc","Millepora",22,0.0034375
"137","West","S14","Misc","Unknown",25,0.00337837837837838
"138","West","S15","Misc","Giant clam",12,0.00157894736842105
"139","North","S3","Misc","Millepora",11,0.00157142857142857
"140","East","S11","Misc","Giant clam",8,0.00112676056338028
"141","East","S6","Misc","Giant clam",6,0.000983606557377049
"142","West","S12","Misc","Unknown",6,0.0009375
"143","North","S5","Misc","Unknown",7,0.000909090909090909
"144","West","S15","Misc","Millepora",6,0.000789473684210526
"145","East","S11","Misc","Unknown",5,0.000704225352112676
"146","North","S4","Misc","Giant clam",5,0.000641025641025641
"147","North","S4","Misc","Unknown",4,0.000512820512820513
"148","North","S2","Misc","Unknown",3,0.000405405405405405
"149","West","S14","Misc","Giant clam",3,0.000405405405405405
"150","West","S15","Misc","Unknown",2,0.000263157894736842
"151","East","S9","Misc","Giant clam",2,0.00025974025974026
"152","East","S9","Misc","Unknown",2,0.00025974025974026
"153","West","S18","Misc","Giant clam",1,0.000196078431372549
"154","West","S18","Misc","Unknown",1,0.000196078431372549
"155","West","S12","Misc","Giant clam",1,0.00015625
"156","North","S2","Misc","Giant clam",1,0.000135135135135135
